2022-10-07 (21:38:41) | [UAA LIA] uid:1
2022-10-07 (21:40:01) | [UAA LIA] uid:1
2022-10-07 (21:40:05) | [UAA LOA] uid:1
2022-10-07 (21:40:07) | [UAA LIA] uid:1
2022-10-07 (21:40:41) | [UAA LOA] uid:1
2022-10-07 (21:41:29) | [UAA LIA] uid:1
2022-10-07 (21:41:31) | [UAA LOA] uid:1
2022-10-07 (21:44:32) | [UAA LIA] uid:1
2022-10-07 (23:20:02) | [UAA LIA] uid:1
2022-10-07 (23:20:06) | [UAA LOA] uid:1
2022-10-07 (23:20:36) | [UAA LIA] uid:1
2022-10-07 (23:27:43) | [UAA LOA] uid:1
2022-10-07 (23:27:51) | [UAA LIA] uid:1
